Notable companies,,,,,,,,,,,,,
Name,Industry,Sector,Headquarters,Founded,Notes,,,,,,,,
Panda Electronics,Consumer goods,Consumer electronics,Nanjing,1936,Consumer electronics,,,,,,,,
Peak Sport Products,Consumer goods,Clothing & accessories,Quanzhou,1989,Sportswear,,,,,,,,
Pearl River Piano Group,Consumer goods,Recreational products,Guangzhou,1956,Pianos,,,,,,,,
People's Insurance Company of China,Financials,Full line insurance,Beijing,1949,Insurance,,,,,,,,
Ping An Bank,Financials,Banks,Shenzhen,1995,"Bank, part of Ping An Insurance",,,,,,,,
Ping An Insurance,Financials,Full line insurance,Shenzhen,1988,Insurance,,,,,,,,
Qihoo 360,Technology,Software,Beijing,2005,Software,,,,,,,,
Qinghai Huading Industrial,Industrials,Industrial machinery,Xining,1998,Mechanical products,,,,,,,,
SAIC-GM,Consumer goods,Automobiles,Shanghai,1997,Joint venture with General Motors (US) and SAIC Motor,,,,,,,,
SAIC Motor,Consumer goods,Automobiles,Shanghai,2011,Automobiles,,,,,,,,
Sany,Industrials,Industrial machinery,Changsha,1989,Machinery,,,,,,,,
Septwolves,Consumer goods,Tobacco,Jinjiang,1990,"Tobacco, clothing",,,,,,,,
Shaanxi Automobile Group,Industrials,Commercial vehicles & trucks,Xi'an,1968,"Trucks, buses",,,,,,,,
Shaanxi Yanchang Petroleum,Oil & gas,Exploration & production,Xi'an,1905,State-owned oil & gas,,,,,,,,
Shanghai Film Group Corporation,Consumer services,Broadcasting & entertainment,Shanghai,2001,Film production,,,,,,,,
Shanghai Pudong Development Bank,Financials,Banks,Shanghai,1993,Commercial bank,,,,,,,,
Shenyang Aircraft Corporation,Industrials,Aerospace,Shenyang,1951,Aircraft,,,,,,,,
Shenzhen Airlines,Consumer services,Airlines,Shenzhen,1992,Airline,,,,,,,,
Shenzhen Energy,Utilities,Conventional electricity,Shenzhen,1993,Power generation,,,,,,,,
Shenzhen Media Group,Consumer services,Broadcasting & entertainment,Shenzhen,2004,Television and radio,,,,,,,,
Shougang,Basic materials,Iron & steel,Beijing,1919,Steel,,,,,,,,
